id,email,A,B,C,D,E,F,G,H,I,J,aid,status,date,result
1,test1@email.com,0,0,0,0,0,0,0,0,0,0,C00000,failed,2021-04-13,0.0
2,test1@email.com,0,0,0,0,0,0,0,0,0,0,C00001,failed,2021-04-13,0.0
3,test2@email.com,1,3,4,7,8,6,9,8,7,5,C00002,passed,2021-04-13,0.0
4,test3@email.com,4,5,8,7,5,1,1,5,4,7,C00003,failed,2021-04-13,0.0
5,test4@email.com,1,0,0,0,5,7,1,6,3,3,C00004,passed,2021-04-13,4501.8
6,test1@email.com,1,1,1,1,1,1,1,1,1,1,C00005,passed,2021-04-13,4501.0
7,test1@email.com,1,2,3,4,5,6,7,8,9,10,C00007,passed,2021-04-24,12852.8779296875
8,test1@email.com,1,2,3,4,5,6,7,8,9,10,C00008,passed,2021-04-26,0.0
9,test1@email.com,0,0,0,0,0,0,0,0,0,0,C00009,passed,2021-04-26,0.0
10,test1@email.com,1,2,3,4,5,6,7,8,9,10,C000010,passed,2021-04-27,12852.8779296875
11,test1@email.com,1,2,3,4,5,6,7,8,9,10,C000011,failed,2021-04-27,0.0
12,test5@email.com,0,0,0,0,0,0,0,0,0,0,C000012,failed,2021-04-27,0.0
13,test6@email.com,1,2,3,4,5,6,7,8,9,10,C000013,passed,2021-04-27,12852.8779296875
14,test6@email.com,0,0,0,0,0,0,0,0,0,0,C000014,failed,2021-04-27,0.0
